Name,Specialties,Gender,Language,Video_Visit,City,Zipcode,Total_Reviews,Overall_Ratings,Wait_Time_Score,Manner_Score,Level_1,Level_2,Doc_Urls
"Dr. Raja Aghabi, DDS",Specialist,Female,Arabic,False,Valley Stream,11580,70.0,4.81,4.65,4.88,2,3,https://www.zocdoc.com/dentist/raja-aghabi-dds-107290
"Dr. Nicole Carreau, MD",Oncologist,Female,English,False,New York,10028,30.0,4.57,3.93,4.75,0,0,https://www.zocdoc.com/doctor/nicole-carreau-md-287624
"Dr. Nicole Carreau, MD", Hematologist,Female,English,False,New York,10028,30.0,4.57,3.93,4.75,1,0,https://www.zocdoc.com/doctor/nicole-carreau-md-287624
"Dr. Karen Kang, DDS",Dentist,Female,English,False,New York,10018,248.0,4.6,4.61,4.63,0,0,https://www.zocdoc.com/dentist/karen-kang-dds-30514
"Dr. Karen Kang, DDS",Dentist,Female,French,False,New York,10018,248.0,4.6,4.61,4.63,0,1,https://www.zocdoc.com/dentist/karen-kang-dds-30514
"Dr. Karen Kang, DDS",Dentist,Female,Spanish,False,New York,10018,248.0,4.6,4.61,4.63,0,2,https://www.zocdoc.com/dentist/karen-kang-dds-30514
"Dr. Karen Kang, DDS",Dentist,Female,,False,New York,10018,248.0,4.6,4.61,4.63,0,3,https://www.zocdoc.com/dentist/karen-kang-dds-30514
"Dr. Howard J. Spielman, DDS",Dentist,Male,English,False,New York,10022,40.0,4.8,4.79,4.85,0,0,https://www.zocdoc.com/dentist/howard-j-spielman-dds-1449
"Dr. Meghan Bishop, MD",Surgeon,Female,English,True,New York,,141.0,4.89,4.54,4.88,0,0,https://www.zocdoc.com/doctor/meghan-bishop-md-281720
"Dr. Meghan Bishop, MD",Specialist,Female,English,True,New York,,141.0,4.89,4.54,4.88,1,0,https://www.zocdoc.com/doctor/meghan-bishop-md-281720
"Dr. Oren Rahmanan, DDS",Dentist,Male,English,False,New York,10020,171.0,4.91,4.79,4.93,0,0,https://www.zocdoc.com/dentist/oren-rahmanan-dds-32750
"Erica Suskin, LMSW",Therapist,Female,English,True,New York,10001,,,,,0,0,https://www.zocdoc.com/professional/erica-suskin-lmsw-295023
"Ellen Lehman, LCSW",Therapist,Female,English,True,New York,10028,,,,,0,0,https://www.zocdoc.com/professional/ellen-lehman-lcsw-298366
"Dr. Claudia Holland, MD",OB-GYN,Female,English,False,New York,10128,908.0,4.64,3.39,4.66,0,0,https://www.zocdoc.com/doctor/claudia-holland-md-15998
"Dr. Claudia Holland, MD",OB-GYN,Female,French,False,New York,10128,908.0,4.64,3.39,4.66,0,1,https://www.zocdoc.com/doctor/claudia-holland-md-15998
"Dr. Claudia Holland, MD",OB-GYN,Female,Spanish,False,New York,10128,908.0,4.64,3.39,4.66,0,2,https://www.zocdoc.com/doctor/claudia-holland-md-15998
"Joseph Sacks, LCSW",Therapist,Male,English,True,New York,,10.0,3.9,4.56,3.89,0,0,https://www.zocdoc.com/professional/joseph-sacks-lcsw-298230
"Joseph Sacks, LCSW",Therapist,Male,Spanish,True,New York,,10.0,3.9,4.56,3.89,0,1,https://www.zocdoc.com/professional/joseph-sacks-lcsw-298230
"Joseph Sacks, LCSW",Therapist,Male,Hebrew,True,New York,,10.0,3.9,4.56,3.89,0,2,https://www.zocdoc.com/professional/joseph-sacks-lcsw-298230
"Dr. Pinkus Szuchmacher, MD",Surgeon,Male,English,True,Astoria,,,,,,0,0,https://www.zocdoc.com/doctor/pinkus-szuchmacher-md-287011
"Dr. Pinkus Szuchmacher, MD",Surgeon,Male,Spanish,True,Astoria,,,,,,0,1,https://www.zocdoc.com/doctor/pinkus-szuchmacher-md-287011
"Dr. Pinkus Szuchmacher, MD",Surgeon,Male,Portuguese,True,Astoria,,,,,,0,2,https://www.zocdoc.com/doctor/pinkus-szuchmacher-md-287011
"Dr. Pinkus Szuchmacher, MD",Surgeon,Male,Yiddish,True,Astoria,,,,,,0,3,https://www.zocdoc.com/doctor/pinkus-szuchmacher-md-287011
"Dr. Karen Shiu, DC",Chiropractor,Female,English,False,New York,10012,22.0,5.0,5.0,5.0,0,0,https://www.zocdoc.com/doctor/karen-shiu-dc-183329
"Dr. Karen Shiu, DC",Chiropractor,Female,Chinese (Cantonese),False,New York,10012,22.0,5.0,5.0,5.0,0,1,https://www.zocdoc.com/doctor/karen-shiu-dc-183329
"Dr. James McKinsey, MD",Surgeon,Male,English,False,New York,10019,,,,,0,0,https://www.zocdoc.com/doctor/james-mckinsey-md-243661
"Dr. Jonathan Richards, DPM",Podiatrist,Male,English,False,New York,10004,345.0,4.9,4.61,4.89,0,0,https://www.zocdoc.com/doctor/jonathan-richards-dpm-176911
"Dr. Jacob Leigh, DPM",Podiatrist,Male,English,True,Cedarhurst,11516,25.0,4.92,4.76,4.9,0,0,https://www.zocdoc.com/doctor/jacob-leigh-dpm-287283
"Dr. Jacob Leigh, DPM",Podiatrist,Male,Korean,True,Cedarhurst,11516,25.0,4.92,4.76,4.9,0,1,https://www.zocdoc.com/doctor/jacob-leigh-dpm-287283
"Karen Keys, LMHC",Therapist,Female,English,True,New York,10001,8.0,5.0,5.0,5.0,0,0,https://www.zocdoc.com/professional/karen-keys-lmhc-297352
"Dr. Cindy Serra, OD",Eye Doctor,Female,English,False,Bronx,10467,73.0,4.92,4.48,4.89,0,0,https://www.zocdoc.com/doctor/cindy-serra-od-261443
"Dr. Cindy Serra, OD",Eye Doctor,Female,Spanish,False,Bronx,10467,73.0,4.92,4.48,4.89,0,1,https://www.zocdoc.com/doctor/cindy-serra-od-261443
"Dr. Cindy Serra, OD",Eye Doctor,Female,Portuguese,False,Bronx,10467,73.0,4.92,4.48,4.89,0,2,https://www.zocdoc.com/doctor/cindy-serra-od-261443
"Dr. A. Reza Radjabi, MD",Endocrinologist,Male,English,True,New York,10019,65.0,4.78,4.71,4.86,0,0,https://www.zocdoc.com/doctor/a-reza-radjabi-md-222337
"Dr. A. Reza Radjabi, MD",Endocrinologist,Male,German,True,New York,10019,65.0,4.78,4.71,4.86,0,1,https://www.zocdoc.com/doctor/a-reza-radjabi-md-222337
"Dr. A. Reza Radjabi, MD",Endocrinologist,Male,Farsi,True,New York,10019,65.0,4.78,4.71,4.86,0,2,https://www.zocdoc.com/doctor/a-reza-radjabi-md-222337
"Dr. A. Reza Radjabi, MD",Endocrinologist,Male,Italian,True,New York,10019,65.0,4.78,4.71,4.86,0,3,https://www.zocdoc.com/doctor/a-reza-radjabi-md-222337
"Dr. Albert Bassoul, MD",Pediatric Doctors,Male,English,False,Brooklyn,11223,136.0,4.65,4.59,4.72,0,0,https://www.zocdoc.com/doctor/albert-bassoul-md-1879
"Dr. Albert Bassoul, MD",Pediatric Doctors,Male,Hebrew,False,Brooklyn,11223,136.0,4.65,4.59,4.72,0,1,https://www.zocdoc.com/doctor/albert-bassoul-md-1879
"Dr. Albert Bassoul, MD",Pediatric Doctors,Male,Arabic,False,Brooklyn,11223,136.0,4.65,4.59,4.72,0,2,https://www.zocdoc.com/doctor/albert-bassoul-md-1879
"Dr. Monica Schadlow, MD, FAAD",Dermatologist,Female,English,True,New York,10017,999.0,4.86,4.55,4.88,0,0,https://www.zocdoc.com/doctor/monica-schadlow-md-faad-74260
"Heather Johnson, PAC",General Doctor,Female,English,True,New York,10006,85.0,4.91,4.68,4.9,0,0,https://www.zocdoc.com/doctor/heather-johnson-pac-206338
"Dr. Kenneth Yuth, DMD",Dentist,Male,English,False,New York,10023,2.0,5.0,5.0,5.0,0,0,https://www.zocdoc.com/dentist/kenneth-yuth-dmd-294128
"Dr. Steven Schwabe, DDS",Dentist,Male,English,False,Bronx,10463,37.0,5.0,4.95,4.97,0,0,https://www.zocdoc.com/dentist/steven-schwabe-dds-242765
"Dr. Steven Schwabe, DDS",Dentist,Male,Spanish,False,Bronx,10463,37.0,5.0,4.95,4.97,0,1,https://www.zocdoc.com/dentist/steven-schwabe-dds-242765
"Dr. James A. Gohar, MD",OB-GYN,Male,English,False,Forest Hills,11375,158.0,4.97,4.52,4.97,0,0,https://www.zocdoc.com/doctor/james-a-gohar-md-76428
"Dr. James A. Gohar, MD",OB-GYN,Male,Spanish,False,Forest Hills,11375,158.0,4.97,4.52,4.97,0,1,https://www.zocdoc.com/doctor/james-a-gohar-md-76428
"Dr. James A. Gohar, MD",OB-GYN,Male,Arabic,False,Forest Hills,11375,158.0,4.97,4.52,4.97,0,2,https://www.zocdoc.com/doctor/james-a-gohar-md-76428
"Dr. Brian Landzberg, MD",Gastroenterologist,Male,English,False,New York,10075,44.0,4.75,4.41,4.71,0,0,https://www.zocdoc.com/doctor/brian-landzberg-md-55046
"Hod Tamir, PhD",Therapist,Male,English,False,New York,10022,10.0,5.0,4.9,5.0,0,0,https://www.zocdoc.com/professional/hod-tamir-phd-261797
"Elana Litwin, PA",General Doctor,Female,English,True,New York,10025,35.0,4.97,4.77,4.97,0,0,https://www.zocdoc.com/doctor/elana-litwin-pa-278526
"Madhurani Mahajan, DPT, PT",Therapist,Female,English,True,Staten Island,10312,128.0,4.92,4.8,4.94,0,0,https://www.zocdoc.com/professional/madhurani-mahajan-dpt-pt-130564
"Madhurani Mahajan, DPT, PT",Therapist,Female,Hindi,True,Staten Island,10312,128.0,4.92,4.8,4.94,0,1,https://www.zocdoc.com/professional/madhurani-mahajan-dpt-pt-130564
"Madhurani Mahajan, DPT, PT",Therapist,Female,Urdu,True,Staten Island,10312,128.0,4.92,4.8,4.94,0,2,https://www.zocdoc.com/professional/madhurani-mahajan-dpt-pt-130564
"Madhurani Mahajan, DPT, PT",Therapist,Female,Marathi,True,Staten Island,10312,128.0,4.92,4.8,4.94,0,3,https://www.zocdoc.com/professional/madhurani-mahajan-dpt-pt-130564
"Elliot Weiner, PhD",Psychologist,Male,English,True,New York,,,,,,0,0,https://www.zocdoc.com/doctor/elliot-weiner-phd-287371
"Dr. Robert L. Buka, MD, JD",Dermatologist,Male,English,False,Long Island City,11101,4584.0,4.45,4.2,4.56,0,0,https://www.zocdoc.com/doctor/robert-l-buka-md-jd-407
"Dr. Robert L. Buka, MD, JD",Dermatologist,Male,Spanish,False,Long Island City,11101,4584.0,4.45,4.2,4.56,0,1,https://www.zocdoc.com/doctor/robert-l-buka-md-jd-407
"Dr. Robert L. Buka, MD, JD",Dermatologist,Male,Chinese (Mandarin),False,Long Island City,11101,4584.0,4.45,4.2,4.56,0,2,https://www.zocdoc.com/doctor/robert-l-buka-md-jd-407
"Dr. Robert L. Buka, MD, JD",Dermatologist,Male,Chinese (Cantonese),False,Long Island City,11101,4584.0,4.45,4.2,4.56,0,3,https://www.zocdoc.com/doctor/robert-l-buka-md-jd-407
"Rob McMillan, PhD",Psychologist,Male,English,False,New York,10018,9.0,4.89,4.89,5.0,0,0,https://www.zocdoc.com/doctor/rob-mcmillan-phd-205997
"Dr. Ioana Tricorache, DDS",Dentist,Female,English,False,Staten Island,10306,103.0,4.9,4.7,4.95,0,0,https://www.zocdoc.com/dentist/ioana-tricorache-dds-64399
"Dr. Ioana Tricorache, DDS",Dentist,Female,Romanian,False,Staten Island,10306,103.0,4.9,4.7,4.95,0,1,https://www.zocdoc.com/dentist/ioana-tricorache-dds-64399
"Dr. Rachel Brozinsky, MD",Pediatric Doctors,Female,English,True,Long Island City,,97.0,4.98,4.87,4.98,0,0,https://www.zocdoc.com/doctor/rachel-brozinsky-md-178139
"Dr. Rachel Brozinsky, MD",Pediatric Doctors,Female,Spanish,True,Long Island City,,97.0,4.98,4.87,4.98,0,1,https://www.zocdoc.com/doctor/rachel-brozinsky-md-178139
"Dr. Timur Mozner, DDS",Dentist,Male,English,False,Rego Park,11374,83.0,4.88,4.88,4.84,0,0,https://www.zocdoc.com/dentist/timur-mozner-dds-149613
"Dr. Timur Mozner, DDS",Dentist,Male,Spanish,False,Rego Park,11374,83.0,4.88,4.88,4.84,0,1,https://www.zocdoc.com/dentist/timur-mozner-dds-149613
"Dr. Timur Mozner, DDS",Dentist,Male,Russian,False,Rego Park,11374,83.0,4.88,4.88,4.84,0,2,https://www.zocdoc.com/dentist/timur-mozner-dds-149613
"Dr. Timur Mozner, DDS",Dentist,Male,,False,Rego Park,11374,83.0,4.88,4.88,4.84,0,3,https://www.zocdoc.com/dentist/timur-mozner-dds-149613
"Dr. Timur Mozner, DDS",Specialist,Male,English,False,Rego Park,11374,83.0,4.88,4.88,4.84,2,0,https://www.zocdoc.com/dentist/timur-mozner-dds-149613
"Dr. Timur Mozner, DDS",Specialist,Male,Spanish,False,Rego Park,11374,83.0,4.88,4.88,4.84,2,1,https://www.zocdoc.com/dentist/timur-mozner-dds-149613
"Dr. Timur Mozner, DDS",Specialist,Male,Russian,False,Rego Park,11374,83.0,4.88,4.88,4.84,2,2,https://www.zocdoc.com/dentist/timur-mozner-dds-149613
"Dr. Timur Mozner, DDS",Specialist,Male,,False,Rego Park,11374,83.0,4.88,4.88,4.84,2,3,https://www.zocdoc.com/dentist/timur-mozner-dds-149613
"Dr. Alex Ky, MD, FACS",Surgeon,Female,English,False,Flushing,11354,422.0,4.8,4.48,4.78,0,0,https://www.zocdoc.com/doctor/alex-ky-md-facs-95377
"Dr. Alex Ky, MD, FACS",Surgeon,Female,Spanish,False,Flushing,11354,422.0,4.8,4.48,4.78,0,1,https://www.zocdoc.com/doctor/alex-ky-md-facs-95377
"Dr. Alex Ky, MD, FACS",Surgeon,Female,Chinese (Mandarin),False,Flushing,11354,422.0,4.8,4.48,4.78,0,2,https://www.zocdoc.com/doctor/alex-ky-md-facs-95377
"Dr. Alex Ky, MD, FACS",Surgeon,Female,Chinese (Cantonese),False,Flushing,11354,422.0,4.8,4.48,4.78,0,3,https://www.zocdoc.com/doctor/alex-ky-md-facs-95377
"Dr. Daniel Klapper, MD",Eye Doctor,Male,English,False,Teaneck,07666,835.0,4.96,4.45,4.97,0,0,https://www.zocdoc.com/doctor/daniel-klapper-md-7311
"Dr. Daniel Klapper, MD",Eye Doctor,Male,German,False,Teaneck,07666,835.0,4.96,4.45,4.97,0,1,https://www.zocdoc.com/doctor/daniel-klapper-md-7311
"Dr. Daniel Klapper, MD",Eye Doctor,Male,Hebrew,False,Teaneck,07666,835.0,4.96,4.45,4.97,0,2,https://www.zocdoc.com/doctor/daniel-klapper-md-7311
"Dr. Daniel Klapper, MD",Eye Doctor,Male,Russian,False,Teaneck,07666,835.0,4.96,4.45,4.97,0,3,https://www.zocdoc.com/doctor/daniel-klapper-md-7311
"Dr. Daniel Klapper, MD",Eye Doctor,Male,Yiddish,False,Teaneck,07666,835.0,4.96,4.45,4.97,0,4,https://www.zocdoc.com/doctor/daniel-klapper-md-7311
"Dr. Brittany Sanford, MD",OB-GYN,Female,English,False,Bronx,10461,11.0,4.73,4.78,4.78,0,0,https://www.zocdoc.com/doctor/brittany-sanford-md-294227
"Patrick Lyo, DPT",Therapist,Male,English,True,Elmhurst,11373,95.0,4.79,4.77,4.8,0,0,https://www.zocdoc.com/professional/patrick-lyo-dpt-236658
"Patrick Lyo, DPT",Therapist,Male,Burmese,True,Elmhurst,11373,95.0,4.79,4.77,4.8,0,1,https://www.zocdoc.com/professional/patrick-lyo-dpt-236658
"Dr. Joyce Kim, MD",OB-GYN,Female,English,False,New York,10128,,3.0,4.0,5.0,0,0,https://www.zocdoc.com/doctor/joyce-kim-md-195592
"Nicole Obenrader, DPT, PT",Therapist,Female,English,False,New York,10036,6.0,5.0,5.0,5.0,0,0,https://www.zocdoc.com/professional/nicole-obenrader-dpt-pt-279298
"Dr. Wenny Tan, OD",Eye Doctor,Female,English,False,New York,10016,51.0,4.82,4.32,4.87,0,0,https://www.zocdoc.com/doctor/wenny-tan-od-290939
"Dr. Xiaorong Yan, MD",General Doctor,Female,English,False,New York,10017,23.0,4.3,4.23,4.45,0,0,https://www.zocdoc.com/doctor/xiaorong-yan-md-249513
"Dr. Ron Bakal, MD",Urologist,Male,English,False,Forest Hills,11375,30.0,3.93,3.53,3.9,0,0,https://www.zocdoc.com/doctor/ron-bakal-md-68165
"Dr. Ron Bakal, MD",Urologist,Male,Spanish,False,Forest Hills,11375,30.0,3.93,3.53,3.9,0,1,https://www.zocdoc.com/doctor/ron-bakal-md-68165
"Dr. Ron Bakal, MD",Urologist,Male,Hebrew,False,Forest Hills,11375,30.0,3.93,3.53,3.9,0,2,https://www.zocdoc.com/doctor/ron-bakal-md-68165
"Dr. Ron Bakal, MD",Urologist,Male,Russian,False,Forest Hills,11375,30.0,3.93,3.53,3.9,0,3,https://www.zocdoc.com/doctor/ron-bakal-md-68165
"Dr. Amit Pawale, MD",Surgeon,Male,English,False,New York,10029,,,,,0,0,https://www.zocdoc.com/doctor/amit-pawale-md-275134
"Dr. Nadezhda Nisimova, OD",Eye Doctor,Female,English,False,Elmhurst,11373,,5.0,5.0,5.0,0,0,https://www.zocdoc.com/doctor/nadezhda-nisimova-od-290795
"Dr. Nadezhda Nisimova, OD",Eye Doctor,Female,Russian,False,Elmhurst,11373,,5.0,5.0,5.0,0,1,https://www.zocdoc.com/doctor/nadezhda-nisimova-od-290795
"Dr. Alicia Schraner, DDS",Dentist,Female,English,False,New York,10017,38.0,4.68,4.64,4.79,0,0,https://www.zocdoc.com/dentist/alicia-schraner-dds-102078
"Dr. Benjamin Shirley, DDS",Dentist,Male,English,False,New York,10025,444.0,4.74,4.7,4.82,0,0,https://www.zocdoc.com/dentist/benjamin-shirley-dds-39327
"Dr. Benjamin Shirley, DDS",Dentist,Male,Spanish,False,New York,10025,444.0,4.74,4.7,4.82,0,1,https://www.zocdoc.com/dentist/benjamin-shirley-dds-39327
"Dr. Frederick Rutkovsky, MD",Gastroenterologist,Male,English,False,New Hyde Park,11040,146.0,4.71,4.06,4.78,0,0,https://www.zocdoc.com/doctor/frederick-rutkovsky-md-191180
"Dr. Frederick Rutkovsky, MD",Internist,Male,English,False,New Hyde Park,11040,146.0,4.71,4.06,4.78,1,0,https://www.zocdoc.com/doctor/frederick-rutkovsky-md-191180
"Katarzyna Dlugosz, LMHC, CASAC, MA",Therapist,Female,English,True,New York,10036,8.0,5.0,5.0,5.0,0,0,https://www.zocdoc.com/professional/katarzyna-dlugosz-lmhc-casac-ma-288193
"Katarzyna Dlugosz, LMHC, CASAC, MA",Therapist,Female,Polish,True,New York,10036,8.0,5.0,5.0,5.0,0,1,https://www.zocdoc.com/professional/katarzyna-dlugosz-lmhc-casac-ma-288193
"Dr. Alexander Heifitz, DDS",Dentist,Male,English,False,New York,10006,187.0,4.1,4.48,4.26,0,0,https://www.zocdoc.com/dentist/alexander-heifitz-dds-709
"Dr. Alexander Heifitz, DDS",Specialist,Male,English,False,New York,10006,187.0,4.1,4.48,4.26,2,0,https://www.zocdoc.com/dentist/alexander-heifitz-dds-709
"Dr. Anuj Malhotra, MD",Specialist,Male,English,False,New York,10029,13.0,5.0,4.69,5.0,0,0,https://www.zocdoc.com/doctor/anuj-malhotra-md-67626
"Dr. Robert Kornberg, MD",Cardiologist,Male,English,False,New York,10019,14.0,4.5,4.0,4.71,0,0,https://www.zocdoc.com/doctor/robert-kornberg-md-274598
"Dr. Michael Y. Mizhiritsky, MD",Physiatrist,Male,English,False,New York,10019,67.0,4.39,4.1,4.4,0,0,https://www.zocdoc.com/doctor/michael-y-mizhiritsky-md-6560
"Dr. Michael Y. Mizhiritsky, MD",Physiatrist,Male,Russian,False,New York,10019,67.0,4.39,4.1,4.4,0,1,https://www.zocdoc.com/doctor/michael-y-mizhiritsky-md-6560
"Dr. Nhu (Teresa) Phung, OD",Eye Doctor,Female,English,False,Brooklyn,11211,94.0,4.86,4.46,4.88,0,0,https://www.zocdoc.com/doctor/nhu-teresa-phung-od-277171
"Dr. Nhu (Teresa) Phung, OD",Eye Doctor,Female,Vietnamese,False,Brooklyn,11211,94.0,4.86,4.46,4.88,0,1,https://www.zocdoc.com/doctor/nhu-teresa-phung-od-277171
"Dr. Sudha Dubey, MD, MPH",Internist,Female,English,False,Astoria,11103,18.0,5.0,4.89,5.0,0,0,https://www.zocdoc.com/doctor/sudha-dubey-md-mph-284963
"Dr. Sudha Dubey, MD, MPH",General Doctor,Female,English,False,Astoria,11103,18.0,5.0,4.89,5.0,1,0,https://www.zocdoc.com/doctor/sudha-dubey-md-mph-284963
"Dr. Sarmista Ram, DO",Internist,Female,English,True,New York,,238.0,4.91,4.65,4.95,0,0,https://www.zocdoc.com/doctor/sarmista-ram-do-261060
"Dr. Sarmista Ram, DO",General Doctor,Female,English,True,New York,,238.0,4.91,4.65,4.95,1,0,https://www.zocdoc.com/doctor/sarmista-ram-do-261060
"Bindu Sharma, PT",Therapist,Female,English,False,Glendale,11385,14.0,4.64,4.93,5.0,0,0,https://www.zocdoc.com/professional/bindu-sharma-pt-291069
"Dr. Yelena Khrapko, DDS",Dentist,Female,English,False,Staten Island,10306,183.0,4.64,4.06,4.65,0,0,https://www.zocdoc.com/dentist/yelena-khrapko-dds-86721
"Dr. Yelena Khrapko, DDS",Dentist,Female,Spanish,False,Staten Island,10306,183.0,4.64,4.06,4.65,0,1,https://www.zocdoc.com/dentist/yelena-khrapko-dds-86721
"Dr. Yelena Khrapko, DDS",Dentist,Female,Italian,False,Staten Island,10306,183.0,4.64,4.06,4.65,0,2,https://www.zocdoc.com/dentist/yelena-khrapko-dds-86721
"Dr. Yelena Khrapko, DDS",Dentist,Female,,False,Staten Island,10306,183.0,4.64,4.06,4.65,0,3,https://www.zocdoc.com/dentist/yelena-khrapko-dds-86721
"Dr. Yelena Khrapko, DDS",Specialist,Female,English,False,Staten Island,10306,183.0,4.64,4.06,4.65,2,0,https://www.zocdoc.com/dentist/yelena-khrapko-dds-86721
"Dr. Yelena Khrapko, DDS",Specialist,Female,Spanish,False,Staten Island,10306,183.0,4.64,4.06,4.65,2,1,https://www.zocdoc.com/dentist/yelena-khrapko-dds-86721
"Dr. Yelena Khrapko, DDS",Specialist,Female,Italian,False,Staten Island,10306,183.0,4.64,4.06,4.65,2,2,https://www.zocdoc.com/dentist/yelena-khrapko-dds-86721
"Dr. Yelena Khrapko, DDS",Specialist,Female,,False,Staten Island,10306,183.0,4.64,4.06,4.65,2,3,https://www.zocdoc.com/dentist/yelena-khrapko-dds-86721
"Richard Sarmiento, MS, PT",Therapist,Male,English,True,New York,10011,63.0,4.89,4.88,4.88,0,0,https://www.zocdoc.com/professional/richard-sarmiento-ms-pt-3632
"Dr. Salil Gupta, MD",Surgeon,Male,English,True,Rego Park,11374,673.0,4.71,3.58,4.75,0,0,https://www.zocdoc.com/doctor/salil-gupta-md-3130
"Dr. Salil Gupta, MD",Surgeon,Male,Spanish,True,Rego Park,11374,673.0,4.71,3.58,4.75,0,1,https://www.zocdoc.com/doctor/salil-gupta-md-3130
"Dr. Salil Gupta, MD",Surgeon,Male,Hindi,True,Rego Park,11374,673.0,4.71,3.58,4.75,0,2,https://www.zocdoc.com/doctor/salil-gupta-md-3130
"Dr. Nancy Nguyen, DMD, MS",Dentist,Female,English,False,New York,10174,936.0,4.92,4.82,4.94,0,0,https://www.zocdoc.com/dentist/nancy-nguyen-dmd-ms-84571
"Dr. Nancy Nguyen, DMD, MS",Dentist,Female,Spanish,False,New York,10174,936.0,4.92,4.82,4.94,0,1,https://www.zocdoc.com/dentist/nancy-nguyen-dmd-ms-84571
"Dr. Nancy Nguyen, DMD, MS",Dentist,Female,Vietnamese,False,New York,10174,936.0,4.92,4.82,4.94,0,2,https://www.zocdoc.com/dentist/nancy-nguyen-dmd-ms-84571
"Dr. Robert Ancona, OD",Eye Doctor,Male,English,False,Brooklyn,11201,842.0,4.81,4.73,4.85,0,0,https://www.zocdoc.com/doctor/robert-ancona-od-8439
"Jorge Llaurado, PT, MS",Therapist,Male,English,True,Bronx,10467,68.0,4.75,4.6,4.78,0,0,https://www.zocdoc.com/professional/jorge-llaurado-pt-ms-54607
"Jorge Llaurado, PT, MS",Therapist,Male,Spanish,True,Bronx,10467,68.0,4.75,4.6,4.78,0,1,https://www.zocdoc.com/professional/jorge-llaurado-pt-ms-54607
